"","participant.label","participant.role"
"1","5f8310cc97a96f4484b0dbdc","Blue"
"2","6977cf1892040e83193ce9fd","Blue"
"3","604ce30820ad61b5acbf037f","Blue"
"4","6980796038c69878a4bbd0c3","Blue"
"5","697cb5b73a00e1bc6044c4d2","Blue"
"6","6987fbc16603cc742ebec4ec","Blue"
"7","5b3158ba532e3d00018e324a","Blue"
"8","69792fb50638e8386aa3ba75","Blue"
"9","697a66e06b7d4b4624c02a23","Red"
"10","5fa97577cf3a5812b12a7375","Blue"
"11","6980df548404cca0b1ba4f34","Red"
"12","69949f8a4515fb1f148cf8d8","Red"
"13","697a9bf89011b40418fff162","Red"
"14","6987146e0a623232071b28ac","Red"
"15","69911cea33b011c4ad26f001","Red"
"16","6981ffdcbe047b41a8cdb792","Red"
"17","5f3013e31c8a690aacb02c31","Red"
"18","69a68b16f90ef9bc918fa1ba","Red"
"19","65cce024500351e8c8f7ff26","Red"
"20","697da549fc95d872d3ee55c4","Red"
"21","69136dffc23976053d4a4166","Red"
"22","6980f519bb8274c8feb663e0","Red"
"23","69aa01d52299cc5f379b49ca","Red"
"24","69807f12172ef48a2ac7edfa","Red"
"25","6977ab0f04abda8d1fa57318","Red"
"26","698359e32fcf5c430435587e","Red"
"27","69889490d2cc218d01890730","Red"
"28","5ef32ea04a243b039f5aee78","Red"
"29","6166aaf50cd9a9167236d31f","Red"
"30","66c99c48b9156abedb580807","Red"
"31","6674897a79ec051d00da6291","Red"
"32","698e4ae32bf095b45c300da8","Red"
"33","69836b3c55144b698880f28c","Red"
"34","69c0cef035a58fa314f19f2d","Red"
"35","68c03814183fb278ae8ac1c9","Red"
"36","69b02c148b521023a452026a","Red"
"37","697d8d53bc33e5039c1719f3","Red"
"38","60fd3e267a0dec9d13806ec1","Red"
"39","6980faa0a2fa4e65dd7e054c","Red"
"40","5fa4c21a04bc5912180291bc","Red"
"41","5ae9cde00335e200019e9eed","Red"
"42","652e85f64c3cfd9b3b8dbf4a","Red"
"43","5d5016c7dec7eb0019a032c6","Red"
"44","69aea77550404bc3be747c46","Red"
"45","69a246dde7c659656d8bc3d5","Red"
"46","5ba641d1168e5e0001e4275d","Red"
"47","65dcfc8cb5a870c7880bd8cc","Red"
"48","698362b5bf65ded73d032b18","Red"
"49","57b70477bd0fc200012ad60a","Red"
"50","6997eb143488f31e45f2c3e1","Red"
"51","68315e5a9a6549bae1cf72c9","Red"
"52","5e4feb8037713502e9ed364b","Red"
"53","673fc88106d7779a0f39642e","Red"
"54","665c8f229f94a044143b15d4","Red"
"55","699289e269821083d9eaf2a2","Red"
"56","663791040de5898120ca93cd","Red"
"57","6984d5e3ad2b1bab20105f93","Red"
"58","69b0960f30730461ec1d57b1","Red"
"59","698dfc5c0b117408dcf2251a","Red"
